college_code,cast,cutoff,year,tier
1304,SCA,122.5,2020,2
1304,SCA,122.5,2021,2
1304,SCA,156.0,2022,2
1304,SCA,122.5,2023,2
1304,ST,114.5,2020,2
1304,ST,114.5,2021,2
1304,ST,156.0,2022,2
1304,ST,114.5,2023,2
1304,ST,156.0,2024,2
1309,BC,173.5,2020,2
1309,BC,173.5,2021,2
1309,BC,179.5,2022,2
1309,BC,173.5,2023,2
1309,BC,173.5,2024,2
1309,BCM,172.5,2020,2
1309,BCM,172.5,2021,2
1309,BCM,173.5,2022,2
1309,BCM,172.5,2023,2
1309,BCM,172.5,2024,2
1309,MBC,165.0,2020,2
1309,MBC,165.0,2021,2
1309,MBC,172.5,2022,2
1309,MBC,165.0,2023,2
1309,MBC,165.0,2024,2
1309,MBCDNC,165.0,2022,2
1309,OC,179.5,2020,2
1309,OC,179.5,2021,2
1309,OC,179.5,2022,2
1309,OC,179.5,2023,2
1309,OC,179.5,2024,2
1309,SC,164.0,2020,2
1309,SC,164.0,2021,2
1309,SC,164.0,2022,2
1309,SC,164.0,2023,2
1309,SC,164.0,2024,2
1309,SCA,134.5,2020,2
1309,SCA,134.5,2021,2
1309,SCA,164.0,2022,2
1309,SCA,134.5,2023,2
1309,SCA,132.0,2024,2
1309,ST,133.0,2020,2
1309,ST,133.0,2021,2
1309,ST,164.0,2022,2
1309,ST,133.0,2023,2
1309,ST,164.0,2024,2
1311,BC,164.0,2020,2
1311,BC,164.0,2021,2
1311,BC,169.5,2022,2
1311,BC,164.0,2023,2
1311,BC,164.0,2024,2
1311,BCM,164.0,2020,2
1311,BCM,164.0,2021,2
1311,BCM,164.0,2022,2
1311,BCM,164.0,2023,2
1311,BCM,164.0,2024,2
1311,MBC,167.5,2020,2
1311,MBC,167.5,2021,2
1311,MBC,167.5,2022,2
1311,MBC,167.5,2023,2
1311,MBC,167.5,2024,2
1311,MBCDNC,157.5,2022,2
1311,OC,178.5,2020,2
1311,OC,178.5,2021,2
1311,OC,178.5,2022,2
1311,OC,178.5,2023,2
1311,OC,178.5,2024,2
1311,SC,150.5,2020,2
1311,SC,150.5,2021,2
1311,SC,150.5,2022,2
1311,SC,150.5,2023,2
1311,SC,133.5,2024,2
1311,SCA,133.5,2022,2
1311,ST,133.5,2020,2
1311,ST,133.5,2021,2
1311,ST,133.5,2022,2
1311,ST,133.5,2023,2
1311,ST,150.5,2024,2
